Date,AAPL,MSFT,GOOG,AMZN,TSLA,BRKB,UNH,JNJ,V,META,XOM,WMT,LLY,JPM,NVDA,PG,HD,CVX,MA,PFE,BAC,KO,ABBV,PEP,MRK,COST,TMO,DHR,AVGO,DIS,ABT,MCD,TMUS,CSCO,ORCL,VZ,NEE,WFC,BMY,CRM,TXN,UPS,SCHW,MS,ADBE,NKE,CMCSA,COP,PM,QCOM,GSPC
2017-3,35.915000915527344,65.86000061035156,41.47800064086914,44.32699966430664,18.553333282470703,166.67999267578125,164.00999450683594,124.55000305175781,88.87000274658203,142.0500030517578,82.01000213623047,72.08000183105469,84.11000061035156,87.83999633789062,27.232500076293945,89.8499984741211,146.8300018310547,107.37000274658203,112.47000122070312,32.457305908203125,23.59000015258789,42.439998626708984,65.16000366210938,111.86000061035156,60.6297721862793,167.69000244140625,153.60000610351562,85.52999877929688,218.9600067138672,113.38999938964844,44.40999984741211,129.61000061035156,64.58999633789062,33.79999923706055,44.61000061035156,48.75,32.092498779296875,55.65999984741211,54.380001068115234,82.48999786376953,80.55999755859375,107.30000305175781,40.810001373291016,42.84000015258789,130.1300048828125,55.72999954223633,37.59000015258789,49.869998931884766,112.9000015258789,57.34000015258789,2362.719970703125
2017-4,35.912498474121094,68.45999908447266,45.29800033569336,46.2495002746582,20.937999725341797,165.2100067138672,174.8800048828125,123.47000122070312,91.22000122070312,150.25,81.6500015258789,75.18000030517578,82.05999755859375,87.0,26.075000762939453,87.33000183105469,156.10000610351562,106.69999694824219,116.31999969482422,32.18216323852539,23.34000015258789,43.150001525878906,65.94000244140625,113.27999877929688,59.475189208984375,177.52000427246094,165.3300018310547,83.33000183105469,220.80999755859375,115.5999984741211,43.63999938964844,139.92999267578125,67.2699966430664,34.06999969482422,44.959999084472656,45.90999984741211,33.38999938964844,53.84000015258789,56.04999923706055,86.12000274658203,79.18000030517578,107.45999908447266,38.849998474121094,43.369998931884766,133.74000549316406,55.40999984741211,39.189998626708984,47.90999984741211,110.83999633789062,53.7400016784668,2384.199951171875
2017-5,38.189998626708984,69.83999633789062,48.24300003051758,49.73099899291992,22.733999252319336,165.27999877929688,175.17999267578125,128.25,95.2300033569336,151.4600067138672,80.5,78.5999984741211,79.56999969482422,82.1500015258789,36.087501525878906,88.08999633789062,153.50999450683594,103.4800033569336,122.87999725341797,30.977230072021484,22.40999984741211,45.470001220703125,66.0199966430664,116.87000274658203,62.127864837646484,180.42999267578125,172.7899932861328,84.94000244140625,239.47999572753906,107.94000244140625,45.65999984741211,150.88999938964844,67.41999816894531,31.530000686645508,45.38999938964844,46.63999938964844,35.36000061035156,51.13999938964844,53.95000076293945,89.63999938964844,82.48999786376953,105.97000122070312,38.75,41.7400016784668,141.86000061035156,52.9900016784668,41.689998626708984,44.689998626708984,119.80000305175781,57.27000045776367,2411.800048828125
2017-6,36.005001068115234,68.93000030517578,45.436500549316406,48.400001525878906,24.107332229614258,169.3699951171875,185.4199981689453,132.2899932861328,93.77999877929688,150.97999572753906,80.7300033569336,75.68000030517578,82.30000305175781,91.4000015258789,36.13999938964844,87.1500015258789,153.39999389648438,104.33000183105469,121.44999694824219,31.869070053100586,24.260000228881836,44.849998474121094,72.51000213623047,115.48999786376953,61.154579162597656,159.92999267578125,174.47000122070312,84.38999938964844,233.0500030517578,106.25,48.61000061035156,153.16000366210938,60.619998931884766,31.299999237060547,50.13999938964844,44.65999984741211,35.032501220703125,55.40999984741211,55.720001220703125,86.5999984741211,76.93000030517578,110.58999633789062,42.959999084472656,44.560001373291016,141.44000244140625,59.0,38.91999816894531,43.959999084472656,117.44999694824219,55.220001220703125,2423.409912109375
2017-7,37.182498931884766,72.69999694824219,46.525001525878906,49.388999938964844,21.564666748046875,174.97000122070312,191.80999755859375,132.72000122070312,99.55999755859375,169.25,80.04000091552734,79.98999786376953,82.66000366210938,91.80000305175781,40.627498626708984,90.81999969482422,149.60000610351562,109.19000244140625,127.80000305175781,31.461101531982422,24.1200008392334,45.84000015258789,69.91000366210938,116.61000061035156,60.95419692993164,158.50999450683594,175.52999877929688,81.48999786376953,246.66000366210938,109.93000030517578,49.18000030517578,155.13999938964844,61.65999984741211,31.450000762939453,49.93000030517578,48.400001525878906,36.522499084472656,53.939998626708984,56.900001525878906,90.80000305175781,81.37999725341797,110.29000091552734,42.900001525878906,46.900001525878906,146.49000549316406,59.04999923706055,40.45000076293945,45.369998931884766,116.70999908447266,53.189998626708984,2470.300048828125
2017-8,41.0,74.7699966430664,46.96649932861328,49.029998779296875,23.726667404174805,181.16000366210938,198.89999389648438,132.3699951171875,103.5199966430664,171.97000122070312,76.33000183105469,78.06999969482422,81.29000091552734,90.88999938964844,42.36000061035156,92.2699966430664,149.8699951171875,107.62000274658203,133.3000030517578,32.18216323852539,23.889999389648438,45.54999923706055,75.30000305175781,115.7300033569336,60.935115814208984,156.74000549316406,187.13999938964844,83.41999816894531,252.07000732421875,101.19999694824219,50.939998626708984,159.97000122070312,64.70999908447266,32.209999084472656,50.33000183105469,47.970001220703125,37.627498626708984,51.06999969482422,60.47999954223633,95.48999786376953,82.81999969482422,114.36000061035156,39.900001525878906,45.5,155.16000366210938,52.810001373291016,40.61000061035156,43.65999984741211,116.93000030517578,52.27000045776367,2471.64990234375
2017-9,38.529998779296875,74.48999786376953,47.955501556396484,48.067501068115234,22.739999771118164,183.32000732421875,195.85000610351562,130.00999450683594,105.23999786376953,170.8699951171875,81.9800033569336,78.13999938964844,85.54000091552734,95.51000213623047,44.692501068115234,90.9800033569336,163.55999755859375,117.5,141.1999969482422,33.870967864990234,25.34000015258789,45.0099983215332,88.86000061035156,111.43000030517578,61.097328186035156,164.2899932861328,189.1999969482422,85.77999877929688,242.5399932861328,98.56999969482422,53.36000061035156,156.67999267578125,61.65999984741211,33.630001068115234,48.349998474121094,49.4900016784668,36.63750076293945,55.150001525878906,63.7400016784668,93.41999816894531,89.63999938964844,120.08999633789062,43.7400016784668,48.16999816894531,149.17999267578125,51.849998474121094,38.47999954223633,50.04999923706055,111.01000213623047,51.84000015258789,2519.360107421875
2017-10,42.2599983215332,83.18000030517578,50.832000732421875,55.263999938964844,22.101999282836914,186.94000244140625,210.22000122070312,139.41000366210938,109.9800033569336,180.05999755859375,83.3499984741211,87.30999755859375,81.94000244140625,100.61000061035156,51.70249938964844,86.33999633789062,165.77999877929688,115.88999938964844,148.77000427246094,33.263755798339844,27.389999389648438,45.97999954223633,90.25,110.2300033569336,52.566795349121094,161.0800018310547,193.8300018310547,92.2699966430664,263.9100036621094,97.80999755859375,54.22999954223633,166.91000366210938,59.77000045776367,34.150001525878906,50.900001525878906,47.869998931884766,38.76750183105469,56.13999938964844,61.65999984741211,102.33999633789062,96.69000244140625,117.52999877929688,44.84000015258789,50.0,175.16000366210938,54.9900016784668,36.029998779296875,51.150001525878906,104.63999938964844,51.0099983215332,2575.260009765625
2017-11,42.962501525878906,84.16999816894531,51.070499420166016,58.837501525878906,20.59000015258789,193.00999450683594,228.1699981689453,139.3300018310547,112.58999633789062,177.17999267578125,83.29000091552734,97.2300033569336,84.63999938964844,104.5199966430664,50.1775016784668,89.98999786376953,179.82000732421875,118.98999786376953,150.47000122070312,34.402278900146484,28.170000076293945,45.77000045776367,96.91999816894531,116.5199966430664,52.738548278808594,184.42999267578125,192.75999450683594,94.36000061035156,277.94000244140625,104.81999969482422,56.369998931884766,171.97000122070312,61.06999969482422,37.29999923706055,49.060001373291016,50.88999938964844,39.5099983215332,56.470001220703125,63.189998626708984,104.31999969482422,97.29000091552734,121.44999694824219,48.790000915527344,51.61000061035156,181.47000122070312,60.41999816894531,37.540000915527344,50.880001068115234,102.75,66.33999633789062,2647.580078125
2017-12,42.307498931884766,85.54000091552734,52.31999969482422,58.4734992980957,20.75666618347168,198.22000122070312,220.4600067138672,139.72000122070312,114.0199966430664,176.4600067138672,83.63999938964844,98.75,84.45999908447266,106.94000244140625,48.375,91.87999725341797,189.52999877929688,125.19000244140625,151.36000061035156,34.36432647705078,29.520000457763672,45.880001068115234,96.70999908447266,119.91999816894531,53.6927490234375,186.1199951171875,189.8800048828125,92.81999969482422,256.8999938964844,107.51000213623047,57.06999969482422,172.1199951171875,63.5099983215332,38.29999923706055,47.279998779296875,52.93000030517578,39.04750061035156,60.66999816894531,61.279998779296875,102.2300033569336,104.44000244140625,119.1500015258789,51.369998931884766,52.470001220703125,175.24000549316406,62.54999923706055,40.04999923706055,54.88999938964844,105.6500015258789,64.0199966430664,2673.610107421875
