Date,AAPL,MSFT,GOOG,FB,INTC,CSCO,ORCL,NVDA,IBM,ADBE,XOM,CVX,GE,COP,SLB,EOG,OXY,PSX,VLO,EMR
2017-12-29,169.22999572753906,85.54000091552734,1046.4000244140625,176.4600067138672,46.15999984741211,38.29999923706055,47.279998779296875,193.5,153.4199981689453,175.24000549316406,83.63999938964844,125.19000244140625,16.778846740722656,54.88999938964844,67.38999938964844,107.91000366210938,73.66000366210938,101.1500015258789,91.91000366210938,69.69000244140625
2018-01-02,172.25999450683594,85.94999694824219,1065.0,181.4199981689453,46.849998474121094,38.86000061035156,46.630001068115234,199.35000610351562,154.25,177.6999969482422,85.02999877929688,127.58000183105469,17.288461685180664,55.31999969482422,69.5199966430664,109.30000305175781,73.9800033569336,101.75,92.80000305175781,70.73999786376953
2018-01-03,172.22999572753906,86.3499984741211,1082.47998046875,184.6699981689453,45.2599983215332,39.16999816894531,47.709999084472656,212.47000122070312,158.49000549316406,181.0399932861328,86.69999694824219,128.50999450683594,17.451923370361328,56.34000015258789,71.33000183105469,110.93000030517578,75.0,102.43000030517578,93.29000091552734,71.38999938964844
2018-01-04,173.02999877929688,87.11000061035156,1086.4000244140625,184.3300018310547,44.43000030517578,38.9900016784668,48.18000030517578,213.58999633789062,161.6999969482422,183.22000122070312,86.81999969482422,128.11000061035156,17.81730842590332,56.9900016784668,73.0999984741211,110.94999694824219,74.95999908447266,102.1500015258789,93.58999633789062,71.48999786376953
2018-01-05,175.0,88.19000244140625,1102.22998046875,186.85000610351562,44.7400016784668,39.529998779296875,48.470001220703125,215.39999389648438,162.49000549316406,185.33999633789062,86.75,127.9000015258789,17.826923370361328,56.880001068115234,73.5999984741211,112.16999816894531,74.55000305175781,102.16000366210938,94.02999877929688,72.43000030517578
2018-01-08,174.35000610351562,88.27999877929688,1106.93994140625,188.27999877929688,44.7400016784668,39.939998626708984,48.97999954223633,222.0,163.47000122070312,185.0399932861328,87.13999938964844,128.52999877929688,17.576923370361328,57.459999084472656,74.80000305175781,112.70999908447266,75.19000244140625,102.05999755859375,94.22000122070312,72.19999694824219
2018-01-09,174.3300018310547,88.22000122070312,1106.260009765625,187.8699951171875,43.619998931884766,39.689998626708984,49.060001373291016,221.94000244140625,163.8300018310547,186.6999969482422,86.7699966430664,127.83999633789062,17.846153259277344,57.93000030517578,74.9000015258789,111.70999908447266,74.88999938964844,101.72000122070312,94.0999984741211,72.31999969482422
2018-01-10,174.2899932861328,87.81999969482422,1102.6099853515625,187.83999633789062,42.5,39.90999984741211,48.79999923706055,223.67999267578125,164.17999267578125,187.11000061035156,86.08000183105469,128.66000366210938,18.201923370361328,57.650001525878906,75.5999984741211,112.01000213623047,74.25,102.08000183105469,94.1500015258789,72.58999633789062
2018-01-11,175.27999877929688,88.08000183105469,1105.52001953125,187.77000427246094,43.40999984741211,40.099998474121094,48.95000076293945,224.0800018310547,164.1999969482422,188.9199981689453,86.93000030517578,132.57000732421875,18.288461685180664,59.18000030517578,77.05000305175781,115.13999938964844,75.81999969482422,102.37000274658203,94.55000305175781,73.87999725341797
2018-01-12,177.08999633789062,89.5999984741211,1122.260009765625,179.3699951171875,43.2400016784668,40.869998931884766,49.5099983215332,222.97999572753906,163.13999938964844,195.0500030517578,87.5199966430664,133.60000610351562,18.038461685180664,60.04999923706055,77.97000122070312,115.69999694824219,76.52999877929688,104.97000122070312,96.75,73.91000366210938
2018-01-16,176.19000244140625,88.3499984741211,1121.760009765625,178.38999938964844,43.13999938964844,40.540000915527344,49.59000015258789,220.11000061035156,163.85000610351562,192.4600067138672,86.97000122070312,132.00999450683594,17.509614944458008,58.84000015258789,77.16999816894531,113.38999938964844,75.2699966430664,103.5,96.1500015258789,72.83000183105469
2018-01-17,179.10000610351562,90.13999938964844,1131.97998046875,177.60000610351562,44.38999938964844,41.20000076293945,50.27000045776367,224.72000122070312,168.64999389648438,196.49000549316406,88.0,132.36000061035156,16.68269157409668,59.86000061035156,77.20999908447266,113.52999877929688,75.86000061035156,106.16000366210938,97.55999755859375,73.06999969482422
2018-01-18,179.25999450683594,90.0999984741211,1129.7900390625,179.8000030517578,44.47999954223633,41.29999923706055,50.22999954223633,224.44000244140625,169.1199951171875,196.1999969482422,87.43000030517578,131.58999633789062,16.125,59.7599983215332,76.37000274658203,114.23999786376953,75.38999938964844,105.29000091552734,96.45999908447266,73.44999694824219
2018-01-19,178.4600067138672,90.0,1137.510009765625,181.2899932861328,44.81999969482422,41.290000915527344,50.58000183105469,230.11000061035156,162.3699951171875,195.72999572753906,87.1500015258789,131.3000030517578,15.634614944458008,59.75,76.41999816894531,114.37000274658203,75.55000305175781,105.62999725341797,97.26000213623047,73.13999938964844
2018-01-22,177.0,91.61000061035156,1155.81005859375,185.3699951171875,45.75,41.65999984741211,50.709999084472656,233.69000244140625,162.60000610351562,197.83999633789062,88.25,132.55999755859375,15.548076629638672,60.66999816894531,79.79000091552734,116.81999969482422,77.62999725341797,106.66000366210938,98.94999694824219,73.26000213623047
2018-01-23,177.0399932861328,91.9000015258789,1169.969970703125,189.35000610351562,46.060001373291016,42.099998474121094,51.119998931884766,238.91000366210938,166.25,200.08999633789062,88.30000305175781,131.02000427246094,16.240385055541992,60.470001220703125,79.20999908447266,117.83999633789062,77.41999816894531,106.9000015258789,98.69000244140625,73.12000274658203
