Date,BA,HON,LMT,TMO,CAT,DHR,GD,NOC,ILMN,DE,JNJ,PFE,UNH,MRK,ABBV,AMGN,ABT,LLY,MMM,BMY
2017-12-29,294.9100036621094,146.98779296875,321.04998779296875,189.8800048828125,157.5800018310547,92.81999969482422,203.4499969482422,306.9100036621094,218.49000549316406,156.50999450683594,139.72000122070312,34.36432647705078,220.4600067138672,53.6927490234375,96.70999908447266,173.89999389648438,57.06999969482422,84.45999908447266,235.3699951171875,61.279998779296875
2018-01-02,296.8399963378906,147.3232421875,318.5400085449219,192.97999572753906,157.0399932861328,92.44000244140625,200.49000549316406,305.239990234375,224.02999877929688,158.00999450683594,139.22999572753906,34.573055267333984,221.16000366210938,53.64503860473633,98.41000366210938,177.0,58.790000915527344,84.68000030517578,235.63999938964844,61.310001373291016
2018-01-03,297.79998779296875,146.10601806640625,321.2099914550781,196.52000427246094,157.27999877929688,93.66999816894531,201.74000549316406,306.6499938964844,230.32000732421875,158.72999572753906,140.55999755859375,34.8292236328125,223.47999572753906,53.568702697753906,99.94999694824219,180.33999633789062,58.91999816894531,85.13999938964844,235.6300048828125,61.36000061035156
2018-01-04,296.6700134277344,148.08041381835938,326.7200012207031,198.97999572753906,159.44000244140625,94.12000274658203,205.2100067138672,308.54998779296875,232.99000549316406,159.63999938964844,140.5500030517578,34.90512466430664,224.4499969482422,54.4370231628418,99.37999725341797,179.5800018310547,58.81999969482422,85.5199966430664,238.7100067138672,61.75
2018-01-05,308.8399963378906,149.11553955078125,329.67999267578125,202.38999938964844,161.9600067138672,94.70999908447266,204.6999969482422,308.2200012207031,228.1699981689453,160.32000732421875,141.7100067138672,34.97153854370117,228.72999572753906,54.3797721862793,101.11000061035156,180.64999389648438,58.9900016784668,86.56999969482422,240.57000732421875,61.88999938964844
2018-01-08,310.1499938964844,148.31044006347656,328.1600036621094,202.72000122070312,166.02999877929688,95.25,204.6999969482422,308.260009765625,227.05999755859375,161.11000061035156,141.88999938964844,34.582542419433594,224.75999450683594,54.064884185791016,99.48999786376953,180.60000610351562,58.81999969482422,86.12999725341797,239.7899932861328,61.90999984741211
2018-01-09,318.42999267578125,149.52767944335938,330.510009765625,206.10000610351562,166.42999267578125,98.61000061035156,205.8800048828125,310.3900146484375,242.8000030517578,165.60000610351562,144.13999938964844,34.544593811035156,225.8800048828125,54.1984748840332,100.23999786376953,183.3800048828125,58.91999816894531,86.05999755859375,241.27999877929688,61.849998474121094
2018-01-10,320.260009765625,150.56280517578125,331.04998779296875,206.2899932861328,165.8699951171875,98.23999786376953,204.75,307.6099853515625,242.58999633789062,164.94000244140625,143.97000122070312,34.60151672363281,224.1999969482422,54.67557144165039,99.69000244140625,182.86000061035156,58.83000183105469,86.0999984741211,241.13999938964844,62.0099983215332
2018-01-11,328.1199951171875,151.35830688476562,331.1300048828125,208.66000366210938,169.1999969482422,98.58999633789062,205.50999450683594,309.54998779296875,240.0399932861328,167.4600067138672,144.7899932861328,34.68690872192383,225.38999938964844,54.961830139160156,99.2699966430664,181.9600067138672,58.95000076293945,86.38999938964844,242.30999755859375,62.470001220703125
2018-01-12,336.2099914550781,152.4605255126953,336.25,210.1699981689453,170.3000030517578,99.38999938964844,210.58999633789062,315.1499938964844,244.72000122070312,169.3000030517578,145.75999450683594,34.667930603027344,228.63999938964844,55.97328186035156,100.33999633789062,185.0399932861328,58.84000015258789,86.9800033569336,244.47000122070312,62.810001373291016
2018-01-16,335.1600036621094,151.32955932617188,330.1099853515625,208.00999450683594,169.30999755859375,99.47000122070312,206.3300018310547,312.5400085449219,241.4199981689453,167.5399932861328,146.86000061035156,34.724857330322266,232.89999389648438,59.22710037231445,102.48999786376953,185.5399932861328,58.439998626708984,85.29000091552734,244.74000549316406,59.91999816894531
2018-01-17,351.010009765625,151.8279571533203,334.8599853515625,211.47999572753906,168.5,99.58999633789062,208.52000427246094,317.510009765625,242.0500030517578,167.42999267578125,146.97999572753906,35.275142669677734,238.42999267578125,59.18893051147461,104.36000061035156,188.00999450683594,58.9900016784668,86.20999908447266,248.11000061035156,61.849998474121094
2018-01-18,340.1600036621094,151.22413635253906,333.0,212.41000366210938,168.8300018310547,99.73999786376953,207.8000030517578,314.29998779296875,241.30999755859375,167.89999389648438,146.9199981689453,35.09487533569336,243.16000366210938,58.33015441894531,103.80999755859375,187.58999633789062,59.06999969482422,85.81999969482422,245.91000366210938,61.83000183105469
2018-01-19,337.7300109863281,152.0963134765625,332.0,213.50999450683594,170.41000366210938,100.55999755859375,209.10000610351562,316.3699951171875,243.5500030517578,170.32000732421875,147.36000061035156,35.04743957519531,243.35000610351562,58.47328186035156,104.63999938964844,189.27999877929688,59.310001373291016,85.48999786376953,248.17999267578125,62.279998779296875
2018-01-22,338.0,151.9525604248047,329.0,215.32000732421875,170.88999938964844,99.97000122070312,208.1999969482422,315.1400146484375,245.19000244140625,170.3800048828125,148.13999938964844,35.0379524230957,243.55999755859375,58.44465637207031,106.48999786376953,192.3300018310547,59.56999969482422,85.44000244140625,247.3000030517578,63.279998779296875
2018-01-23,335.5899963378906,152.95892333984375,328.70001220703125,214.5500030517578,169.42999267578125,99.94999694824219,207.47999572753906,313.4800109863281,242.94000244140625,168.66000366210938,141.8300018310547,34.93358612060547,245.2100067138672,58.874046325683594,105.37999725341797,191.99000549316406,59.22999954223633,84.41999816894531,246.30999755859375,63.43000030517578
