Date,Adj Close,Name
2010-09-27,16.65626335144043,AIR
2010-09-28,16.918350219726562,AIR
2010-09-29,17.053913116455078,AIR
2010-09-30,16.86412811279297,AIR
2010-09-27,34.12884521484375,ALV
2010-09-28,34.943092346191406,ALV
2010-09-29,35.218109130859375,ALV
2010-09-30,35.22888946533203,ALV
2010-09-27,42.724998474121094,BEI
2010-09-28,42.4900016784668,BEI
2010-09-29,44.67499923706055,BEI
2010-09-30,43.80500030517578,BEI
2010-09-27,0.019999999552965164,BMW
2010-09-28,0.019999999552965164,BMW
2010-09-27,25.253896713256836,DTE
2010-09-28,25.237438201904297,DTE
2010-09-29,25.336233139038086,DTE
2010-09-30,25.209991455078125,DTE
2010-09-27,14340.0,SIE
2010-09-28,14380.0,SIE
2010-09-29,1.100000023841858,SIE
2010-09-30,14440.0,SIE
2010-09-27,10.833884239196777,HEI
2010-09-28,11.097357749938965,HEI
2010-09-29,11.215800285339355,HEI
2010-09-30,11.03209400177002,HEI
2010-09-27,0.2800000011920929,IFX
2010-09-30,0.2800000011920929,IFX
2010-09-27,70.1265640258789,LIN
2010-09-28,70.61064147949219,LIN
2010-09-29,70.06409454345703,LIN
2010-09-30,70.47791290283203,LIN
2010-09-27,18.804519653320312,MBG
2010-09-28,18.79074478149414,MBG
2010-09-29,18.84578514099121,MBG
2010-09-30,18.873308181762695,MBG
2010-09-27,23.39266014099121,MRK
2010-09-28,23.468259811401367,MRK
2010-09-29,23.3863525390625,MRK
2010-09-30,23.191055297851562,MRK
2010-09-27,27.760866165161133,MTX
2010-09-28,28.639039993286133,MTX
2010-09-29,28.183151245117188,MTX
2010-09-30,28.27433204650879,MTX
2010-09-27,13.853099822998047,QIA
2010-09-28,13.749199867248535,QIA
2010-09-29,13.790800094604492,QIA
2010-09-30,13.790800094604492,QIA
2010-09-27,66.6500015258789,RWE
2010-09-28,66.0,RWE
2010-09-29,65.80000305175781,RWE
2010-09-30,66.8499984741211,RWE
2010-09-27,40.36216735839844,SAP
2010-09-28,40.573822021484375,SAP
2010-09-29,40.39472579956055,SAP
2010-09-30,40.142356872558594,SAP
2010-09-27,194.7830047607422,SHL
2010-09-28,9.0,SHL
2010-09-29,0.1599999964237213,SHL
2010-09-30,0.15261000394821167,SHL
2010-09-27,17800.0,VNA
2010-09-28,17800.0,VNA
2010-09-29,17600.0,VNA
2010-09-30,17300.0,VNA
