Date,Adj Close,# of shares
2013-09-30,33.82008361816406,112292241
2014-09-30,36.119041442871094,123490586
2015-09-30,45.989498138427734,123565586
2016-09-30,51.97945785522461,123565586
2017-09-29,91.16179656982422,123565586
2018-09-28,217.4835205078125,123565586
2019-09-30,157.0399932861328,123565586
2020-09-30,0.8899999856948853,123565586
2021-09-30,0.27399998903274536,123565586
